crop,state,district,price
Cauliflower,Chhattisgarh,Mungeli,1400
Chili (Red),Chhattisgarh,Narayanpur,1550
Chrysanthemum,Chhattisgarh,Raigarh,5500
Cinnamon,Chhattisgarh,Raipur,24000
Cloves,Chhattisgarh,Rajnandgaon,61100
Cocoa,Chhattisgarh,Sukma,20200
Coconut,Chhattisgarh,Surajpur,2150
Coffee,Chhattisgarh,Surguja,22800
Coriander,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,6400
Cotton,Dadra and Nagar Haveli and Daman and Diu,Daman,6950
Cowpea (Lobia),Dadra and Nagar Haveli and Daman and Diu,Diu,5200
Cucumber,Delhi,Central Delhi,1450
Cumin (Jeera),Delhi,East Delhi,28800
Custard Apple,Delhi,New Delhi,3800
Drumstick (Moringa),Delhi,North Delhi,2300
Elephant Foot Yam (Suran),Delhi,North East Delhi,2150
Fennel (Saunf),Delhi,North West Delhi,11150
Fenugreek (Methi),Delhi,Shahdara,5550
Finger Millet (Ragi),Delhi,South Delhi,3650
French Beans,Delhi,South East Delhi,3650
Garlic,Delhi,South West Delhi,8600
Ginger,Delhi,West Delhi,7400
Grapes,Goa,North Goa,7550
Green Chili,Goa,South Goa,3150
Green Gram (Moong),Gujarat,Amreli,9300
Groundnut,Gujarat,Anand,7200
Guava,Gujarat,Aravalli,3150
Jackfruit,Gujarat,Banaskantha Palanpur,1650
Jasmine,Gujarat,Bharuch,12950
Jute,Gujarat,Bhavnagar,5450
Lemon,Gujarat,Botad,5250
Lemongrass,Gujarat,Chhota Udepur,5250
Lentil (Masur),Gujarat,Dahod,7100
Lime,Gujarat,Dangs Ahwa,4950
Linseed,Gujarat,Devbhoomi Dwarka,5950
Litchi,Gujarat,Gandhinagar,8400
Mace,Gujarat,Gir Somnath,99900
Maize,Gujarat,Jamnagar,2200
Mango,Gujarat,Junagadh,6600
Marigold,Gujarat,Kachchh,2650
Mentha (Pudina),Gujarat,Kheda Nadiad,8450
Mesta,Gujarat,Mahisagar,5250
Muskmelon,Gujarat,Mehsana,1250
Niger Seed,Gujarat,Morbi,8800
Nutmeg,Gujarat,Narmada Rajpipla,49500
Oats,Gujarat,Navsari,2250
Okra (Bhindi),Gujarat,Panchmahal Godhra,2400
Onion,Gujarat,Patan,1950
Orange,Gujarat,Porbandar,4950
Orchid,Gujarat,Rajkot,22400
Paddy (Dhan),Gujarat,Sabarkantha Himmatnagar,2300
Papaya,Gujarat,Surendranagar,2200
Peach,Gujarat,Tapi Vyara,6350
Pear,Gujarat,Vadodara,5550
Pearl Millet (Bajra),Gujarat,Valsad,2600
Peas,Haryana,Ambala,3100
Peas (Matar),Haryana,Bhiwani,4600
Pigeon Peas (Arhar/Tur),Haryana,Charkhi Dadri,6700
Pineapple,Haryana,Fatehabad,3600
Plum,Haryana,Gurgaon,5600
Pomegranate,Haryana,Jhajjar,9250
Potato,Haryana,Jind,1400
Pumpkin,Haryana,Kaithal,960
Radish,Haryana,Karnal,1100
Rajma,Haryana,Kurukshetra,7550
Rapeseed & Mustard,Haryana,Mahendragarh,5450
Ridge Gourd (Torai),Haryana,Mewat,1750
Rose,Haryana,Palwal,7500
Rubber,Haryana,Panchkula,14250
Safflower,Haryana,Panipat,6000
Sesame (Til),Haryana,Rewari,8250
Sorghum (Jowar),Haryana,Rohtak,3050
Soybean,Haryana,Sirsa,4750
Spinach,Haryana,Sonipat,1400
Strawberry,Haryana,Yamunanagar,11750
Sugarcane,Himachal Pradesh,Bilaspur,340
Sunflower,Himachal Pradesh,Chamba,7300
Sweet Potato,Himachal Pradesh,Hamirpur,1650
Tamarind,Himachal Pradesh,Kangra,3700
Tea,Himachal Pradesh,Kinnaur,18900
Tobacco,Himachal Pradesh,Kullu,9550
Tomato,Himachal Pradesh,Lahaul andamp Spiti,2500
Tulip,Himachal Pradesh,Mandi,26000
Tulsi (Basil),Himachal Pradesh,Shimla,4400
Turmeric,Himachal Pradesh,Sirmaur Sirmour,7550
Turnip,Himachal Pradesh,Solan,1250
Watermelon,Himachal Pradesh,Una,860
Wheat,Jammu and Kashmir,Anantnag,2150
Aloe Vera,Jammu and Kashmir,Bandipore,1050
Anthurium,Jammu and Kashmir,Baramulla,14250
Apple,Jammu and Kashmir,Budgam,7650
Arecanut,Jammu and Kashmir,Doda,32900
Ashwagandha,Jammu and Kashmir,Ganderbal,23000
Banana,Jammu and Kashmir,Jammu,2150
Barley,Jammu and Kashmir,Kargil,1600
Bengal Gram (Chana),Jammu and Kashmir,Kathua,4700
Bitter Gourd (Karela),Jammu and Kashmir,Kishtwar,2200
Black Gram (Urad),Jammu and Kashmir,Kulgam,6350
Black Pepper,Jammu and Kashmir,Kupwara,43000
Bottle Gourd (Lauki),Jammu and Kashmir,Leh,1100
Brinjal,Jammu and Kashmir,Poonch,1500
Cabbage,Jammu and Kashmir,Pulwama,1050
Capsicum,Jammu and Kashmir,Rajouri,3000
Cardamom (Elaichi),Jammu and Kashmir,Ramban,139500
Carnation,Jammu and Kashmir,Reasi,9600
Carrot,Jammu and Kashmir,Samba,1650
Cashewnut,Jammu and Kashmir,Shopian,6500
Castor Seed,Jammu and Kashmir,Srinagar,5750
Cauliflower,Jammu and Kashmir,Udhampur,1450
Chili (Red),Jharkhand,Bokaro,2050
Chrysanthemum,Jharkhand,Chatra,6800
Cinnamon,Jharkhand,Deoghar,28750
Cloves,Jharkhand,Dhanbad,68250
Cocoa,Jharkhand,Dumka,23750
Coconut,Jharkhand,East Singhbhum,2850
Coffee,Jharkhand,Garhwa,25400
Coriander,Jharkhand,Giridih,6800
Cotton,Jharkhand,Godda,7250
Cowpea (Lobia),Jharkhand,Gumla,5750
Cucumber,Jharkhand,Hazaribag,1600
Cumin (Jeera),Jharkhand,Jamtara,33900
Custard Apple,Jharkhand,Khunti,4450
Drumstick (Moringa),Jharkhand,Koderma,2800
Elephant Foot Yam (Suran),Jharkhand,Latehar,2350
Fennel (Saunf),Jharkhand,Lohardaga,13050
Fenugreek (Methi),Jharkhand,Pakur,6700
Finger Millet (Ragi),Jharkhand,Palamu,4300
French Beans,Jharkhand,Ramgarh,4450
Garlic,Jharkhand,Ranchi,10250
Ginger,Jharkhand,Sahibganj,9100
Grapes,Jharkhand,Seraikela Kharsawan,7700
Green Chili,Jharkhand,Simdega,3300
Green Gram (Moong),Jharkhand,West Singhbhum,9400
Groundnut,Karnataka,Bagalkot,6400
Guava,Karnataka,Ballari Bellary,3000
Jackfruit,Karnataka,Belagavi Belgaum,1450
Jasmine,Karnataka,Bengaluru Bangalore Rural,11600
Jute,Karnataka,Bengaluru Bangalore Urban,5150
Lemon,Karnataka,Bidar,4850
Lemongrass,Karnataka,Chamarajanagar,4950
Lentil (Masur),Karnataka,Chikballapur,6300
Lime,Karnataka,Chikkamagaluru Chikmagalur,4800
Linseed,Karnataka,Chitradurga,5550
Litchi,Karnataka,Dakshina Kannada,7650
Mace,Karnataka,Davangere,90000
Maize,Karnataka,Dharwad,1900
Mango,Karnataka,Gadag,5750
Marigold,Karnataka,Hassan,2300
Mentha (Pudina),Karnataka,Haveri,7900
Mesta,Karnataka,Kalaburagi Gulbarga,4750
Muskmelon,Karnataka,Kodagu,1150
Niger Seed,Karnataka,Kolar,7950
Nutmeg,Karnataka,Koppal,44100
Oats,Karnataka,Mandya,1850
Okra (Bhindi),Karnataka,Mysuru Mysore,2100
Onion,Karnataka,Raichur,1900
Orange,Karnataka,Ramanagara,4500
Orchid,Karnataka,Shivamogga Shimoga,20600
Paddy (Dhan),Karnataka,Tumakuru Tumkur,2100
Papaya,Karnataka,Udupi,2050
Peach,Karnataka,Uttara Kannada Karwar,5900
Pear,Karnataka,Vijayapura Bijapur,4750
Pearl Millet (Bajra),Karnataka,Yadgir,2500
Peas,Kerala,Alappuzha,3100
Peas (Matar),Kerala,Ernakulam,4050
Pigeon Peas (Arhar/Tur),Kerala,Idukki,6300
Pineapple,Kerala,Kannur,3150
Plum,Kerala,Kasaragod,4950
Pomegranate,Kerala,Kollam,8550
Potato,Kerala,Kottayam,1350
Pumpkin,Kerala,Kozhikode,1000
Radish,Kerala,Malappuram,1000
Rajma,Kerala,Palakkad,7350
Rapeseed & Mustard,Kerala,Pathanamthitta,5100
Ridge Gourd (Torai),Kerala,Thiruvananthapuram,1800
Rose,Kerala,Thrissur,7350
Rubber,Kerala,Wayanad,15000
Safflower,Ladakh,Leh,5550
Sesame (Til),Ladakh,Kargil,8500
Sorghum (Jowar),Lakshadweep,Agatti,3050
Soybean,Lakshadweep,Amini,4400
Spinach,Lakshadweep,Androth,1200
Strawberry,Lakshadweep,Bithra,10550
Sugarcane,Lakshadweep,Chethlath,280
Sunflower,Lakshadweep,Kadmath,6250
Sweet Potato,Lakshadweep,Kalpeni,1400
Tamarind,Lakshadweep,Kavaratti,3250
Tea,Lakshadweep,Kilthan,16900
Tobacco,Lakshadweep,Minicoy,8350
Tomato,Madhya Pradesh,Agar Malwa,2550
Tulip,Madhya Pradesh,Alirajpur,27750
Tulsi (Basil),Madhya Pradesh,Anuppur,4400
Turmeric,Madhya Pradesh,Ashoknagar,8550
Turnip,Madhya Pradesh,Balaghat,1300
Watermelon,Madhya Pradesh,Barwani,850
Wheat,Madhya Pradesh,Betul,2400
Aloe Vera,Madhya Pradesh,Bhind,1250
Anthurium,Madhya Pradesh,Burhanpur,16200
Apple,Madhya Pradesh,Chhatarpur,8950
Arecanut,Madhya Pradesh,Chhindwara,38500
Ashwagandha,Madhya Pradesh,Damoh,28500
Banana,Madhya Pradesh,Datia,2800
Barley,Madhya Pradesh,Dewas,1850
Bengal Gram (Chana),Madhya Pradesh,Dhar,5700
Bitter Gourd (Karela),Madhya Pradesh,Dindori,2600
Black Gram (Urad),Madhya Pradesh,Guna,7850
Black Pepper,Madhya Pradesh,Gwalior,52500
Bottle Gourd (Lauki),Madhya Pradesh,Harda,1250
Brinjal,Madhya Pradesh,Hoshangabad,1900
Cabbage,Madhya Pradesh,Jabalpur,1200
Capsicum,Madhya Pradesh,Jhabua,3950
Cardamom (Elaichi),Madhya Pradesh,Katni,160500
Carnation,Madhya Pradesh,Khandwa,11400
Carrot,Madhya Pradesh,Khargone,2000
Cashewnut,Madhya Pradesh,Mandla,8150
Castor Seed,Madhya Pradesh,Mandsaur,6550
Cauliflower,Madhya Pradesh,Morena,1700
Chili (Red),Madhya Pradesh,Narsinghpur,1950
Chrysanthemum,Madhya Pradesh,Neemuch,6650
Cinnamon,Madhya Pradesh,Panna,26000
Cloves,Madhya Pradesh,Raisen,72800
Cocoa,Madhya Pradesh,Rajgarh,24200
Coconut,Madhya Pradesh,Ratlam,2750
Coffee,Madhya Pradesh,Rewa,26600
Coriander,Madhya Pradesh,Sagar,6750
Cotton,Madhya Pradesh,Satna,7450
Cowpea (Lobia),Madhya Pradesh,Sehore,5650
Cucumber,Madhya Pradesh,Seoni,1600
Cumin (Jeera),Madhya Pradesh,Shahdol,33600
Custard Apple,Madhya Pradesh,Shajapur,4200
Drumstick (Moringa),Madhya Pradesh,Sheopur,2800
Elephant Foot Yam (Suran),Madhya Pradesh,Shivpuri,2250
Fennel (Saunf),Madhya Pradesh,Sidhi,13050
Fenugreek (Methi),Madhya Pradesh,Singrauli,6400
Finger Millet (Ragi),Madhya Pradesh,Tikamgarh,4150
French Beans,Madhya Pradesh,Ujjain,4500
Garlic,Madhya Pradesh,Umaria,10150
Ginger,Madhya Pradesh,Vidisha,8300
Grapes,Maharashtra,Ahmednagar,6900
Green Chili,Maharashtra,Akola,2900
Green Gram (Moong),Maharashtra,Amravati,8600
Groundnut,Maharashtra,Aurangabad,6350
Guava,Maharashtra,Beed,3150
Jackfruit,Maharashtra,Bhandara,1500
Jasmine,Maharashtra,Buldhana,11750
Jute,Maharashtra,Chandrapur,4800
Lemon,Maharashtra,Dhule,4950
Lemongrass,Maharashtra,Gadchiroli,4900
Lentil (Masur),Maharashtra,Gondia,6200
Lime,Maharashtra,Hingoli,4950
Linseed,Maharashtra,Jalgaon,5300
Litchi,Maharashtra,Jalna,7900
Mace,Maharashtra,Kolhapur,94500
Maize,Maharashtra,Latur,2150
Mango,Maharashtra,Mumbai City,6000
Marigold,Maharashtra,Mumbai Suburban,2600
Mentha (Pudina),Maharashtra,Nagpur,7650
Mesta,Maharashtra,Nanded,4600
Muskmelon,Maharashtra,Nandurbar,1200
Niger Seed,Maharashtra,Osmanabad,7300
Nutmeg,Maharashtra,Palghar,45900
Oats,Maharashtra,Parbhani,2050
Okra (Bhindi),Maharashtra,Raigad,2300
Onion,Maharashtra,Ratnagiri,1800
Orange,Maharashtra,Sangli,4550
Orchid,Maharashtra,Satara,20000
Paddy (Dhan),Maharashtra,Sindhudurg,2250
Papaya,Maharashtra,Solapur,1950
Peach,Maharashtra,Thane,5900
Pear,Maharashtra,Wardha,5200
Pearl Millet (Bajra),Maharashtra,Washim,2500
Peas,Maharashtra,Yavatmal,3150
Peas (Matar),Manipur,Bishnupur,4950
Pigeon Peas (Arhar/Tur),Manipur,Chandel,7800
Pineapple,Manipur,Churachandpur,3900
Plum,Manipur,Imphal East,5800
Pomegranate,Manipur,Imphal West,10050
Potato,Manipur,Jiribam,1600
Pumpkin,Manipur,Kakching,1050
Radish,Manipur,Kamjong,1200
Rajma,Manipur,Kangpokpi,8250
Rapeseed & Mustard,Manipur,Noney,6300
Ridge Gourd (Torai),Manipur,Pherzawl,1900
Rose,Manipur,Senapati,8700
Rubber,Manipur,Tamenglong,15450
Safflower,Manipur,Tengnoupal,6550
Sesame (Til),Manipur,Thoubal,8850
Sorghum (Jowar),Manipur,Ukhrul,3400
Soybean,Meghalaya,East Garo Hills,4300
Spinach,Meghalaya,East Jaintia Hills,1300
Strawberry,Meghalaya,East Khasi Hills,11600
Sugarcane,Meghalaya,North Garo Hills,290
Sunflower,Meghalaya,Ri Bhoi,6200
Sweet Potato,Meghalaya,South Garo Hills,1550
Tamarind,Meghalaya,South West Garo Hills,3250
Tea,Meghalaya,South West Khasi Hills,17100
Tobacco,Meghalaya,West Garo Hills,8800
Tomato,Meghalaya,West Jaintia Hills,2150
Tulip,Meghalaya,West Khasi Hills,23000
Tulsi (Basil),Mizoram,Aizawl,4350
Turmeric,Mizoram,Champhai,7850
Turnip,Mizoram,Kolasib,1200
Watermelon,Mizoram,Lawngtlai,830
Wheat,Mizoram,Lunglei,2500
Aloe Vera,Mizoram,Mamit,1250
Anthurium,Mizoram,Saiha,15150
Apple,Mizoram,Serchhip,8050
Arecanut,Nagaland,Dimapur,36400
Ashwagandha,Nagaland,Kiphire,27250
Banana,Nagaland,Kohima,2750
Barley,Nagaland,Longleng,1850
Bengal Gram (Chana),Nagaland,Mokokchung,5650
Bitter Gourd (Karela),Nagaland,Mon,2650
Black Gram (Urad),Nagaland,Peren,7400
Black Pepper,Nagaland,Phek,55500
Bottle Gourd (Lauki),Nagaland,Tuensang,1300
Brinjal,Nagaland,Wokha,1950
Cabbage,Nagaland,Zunheboto,1300
Capsicum,Odisha,Angul,3350
Cardamom (Elaichi),Odisha,Balangir,144000
Carnation,Odisha,Balasore,9600
Carrot,Odisha,Bargarh,1550
Cashewnut,Odisha,Bhadrak,6800
Castor Seed,Odisha,Boudh,5850
Cauliflower,Odisha,Cuttack,1500
Chili (Red),Odisha,Deogarh,1700
Chrysanthemum,Odisha,Dhenkanal,5300
Cinnamon,Odisha,Gajapati,23500
Cloves,Odisha,Ganjam,59150
Cocoa,Odisha,Jagatsinghapur,21300
Coconut,Odisha,Jajpur,2400
Coffee,Odisha,Jharsuguda,21600
Coriander,Odisha,Kalahandi,6150
Cotton,Odisha,Kandhamal,6000
Cowpea (Lobia),Odisha,Kendrapara,4850
Cucumber,Odisha,Kendujhar Keonjhar,1300
Cumin (Jeera),Odisha,Khordha,26400
Custard Apple,Odisha,Koraput,3600
Drumstick (Moringa),Odisha,Malkangiri,2250
Elephant Foot Yam (Suran),Odisha,Mayurbhanj,1900
Fennel (Saunf),Odisha,Nabarangpur,11500
Fenugreek (Methi),Odisha,Nayagarh,5700
Finger Millet (Ragi),Odisha,Nuapada,3400
French Beans,Odisha,Puri,3450
Garlic,Odisha,Rayagada,8450
Ginger,Odisha,Sambalpur,7000
Grapes,Odisha,Sonepur,6350
Green Chili,Odisha,Sundargarh,2600
Green Gram (Moong),Puducherry,Karaikal,8200
Groundnut,Puducherry,Mahe,5700
Guava,Puducherry,Pondicherry,2650
Jackfruit,Puducherry,Yanam,1350
Jasmine,Punjab,Barnala,12800
Jute,Punjab,Bathinda,5300
Lemon,Punjab,Faridkot,5100
Lemongrass,Punjab,Fatehgarh Sahib,4950
Lentil (Masur),Punjab,Fazilka,6550
Lime,Punjab,Ferozepur,4650
Linseed,Punjab,Gurdaspur,5750
Litchi,Punjab,Hoshiarpur,8050
Mace,Punjab,Jalandhar,93600
Maize,Punjab,Kapurthala,2000
Mango,Punjab,Mansa,6350
Marigold,Punjab,Moga,2650
Mentha (Pudina),Punjab,Muktsar,8200
Mesta,Punjab,Nawanshahr Shahid Bhagat Singh Nagar,4900
Muskmelon,Punjab,Pathankot,1200
Niger Seed,Punjab,Patiala,7500
Nutmeg,Punjab,Rupnagar,48150
Oats,Punjab,Sahibzada Ajit Singh Nagar Mohali,2050
Okra (Bhindi),Punjab,Sangrur,2250
Onion,Punjab,Tarn Taran,1800
Orange,Rajasthan,Alwar,4150
Orchid,Rajasthan,Banswara,18800
Paddy (Dhan),Rajasthan,Baran,2100
Papaya,Rajasthan,Barmer,2000
Peach,Rajasthan,Bharatpur,5600
Pear,Rajasthan,Bhilwara,4650
Pearl Millet (Bajra),Rajasthan,Bikaner,2300
Peas,Rajasthan,Bundi,3000
Peas (Matar),Rajasthan,Chittorgarh,4450
Pigeon Peas (Arhar/Tur),Rajasthan,Churu,6650
Pineapple,Rajasthan,Dausa,3500
Plum,Rajasthan,Dholpur,5250
Pomegranate,Rajasthan,Dungarpur,8350
Potato,Rajasthan,Hanumangarh,1500
Pumpkin,Rajasthan,Jaisalmer,950
Radish,Rajasthan,Jalore,1050
Rajma,Rajasthan,Jhalawar,6800
Rapeseed & Mustard,Rajasthan,Jhunjhunu,5350
Ridge Gourd (Torai),Rajasthan,Jodhpur,1650
Rose,Rajasthan,Karauli,8050
Rubber,Rajasthan,Kota,14400
Safflower,Rajasthan,Nagaur,5850
Sesame (Til),Rajasthan,Pali,8500
Sorghum (Jowar),Rajasthan,Pratapgarh,3100
Soybean,Rajasthan,Rajsamand,4400
Spinach,Rajasthan,Sawai Madhopur,1300
Strawberry,Rajasthan,Sikar,11400
Sugarcane,Rajasthan,Sirohi,290
Sunflower,Rajasthan,Sri Ganganagar,6750
Sweet Potato,Rajasthan,Tonk,1500
Tamarind,Rajasthan,Udaipur,3500
Tea,Sikkim,East Sikkim,16550
Tobacco,Sikkim,North Sikkim,9000
Tomato,Sikkim,South Sikkim,2100
Tulip,Sikkim,West Sikkim,21500
Tulsi (Basil),Tamil Nadu,Ariyalur,4500
Turmeric,Tamil Nadu,Chennai,8550
Turnip,Tamil Nadu,Coimbatore,1250
Watermelon,Tamil Nadu,Cuddalore,870
Wheat,Tamil Nadu,Dharmapuri,2400
Aloe Vera,Tamil Nadu,Dindigul,1300
Anthurium,Tamil Nadu,Erode,16800
Apple,Tamil Nadu,Kanchipuram,8850
Arecanut,Tamil Nadu,Kanyakumari,36750
Ashwagandha,Tamil Nadu,Karur,28500
Banana,Tamil Nadu,Krishnagiri,2700
Barley,Tamil Nadu,Madurai,1850
Bengal Gram (Chana),Tamil Nadu,Nagapattinam,6250
Bitter Gourd (Karela),Tamil Nadu,Namakkal,2700
Black Gram (Urad),Tamil Nadu,Nilgiris,7950
Black Pepper,Tamil Nadu,Perambalur,54000
Bottle Gourd (Lauki),Tamil Nadu,Pudukkottai,1350
Brinjal,Tamil Nadu,Ramanathapuram,1950
Cabbage,Tamil Nadu,Salem,1250
Capsicum,Tamil Nadu,Sivaganga,3850
Cardamom (Elaichi),Tamil Nadu,Thanjavur,171000
Carnation,Tamil Nadu,Theni,11200
Carrot,Tamil Nadu,Thoothukudi Tuticorin,2000
Cashewnut,Tamil Nadu,Tiruchirappalli,8250
